I
1000 Version - data cycle 2013.10,

4  63.99333333 -022.60544444    163 11130  18       0.020 IKN  BIKF 01  ILS-cat-I
4  63.98505556 -022.58375000    171 10950  18      89.970 IKF  BIKF 10  ILS-cat-II
4  63.96313889 -022.60544444    137 11030  18     180.020 IKO  BIKF 19  ILS-cat-II
4  63.98502778 -022.66172222    111 10850  18     270.020 IKW  BIKF 28  ILS-cat-I

6  63.96708333 -022.60344444    115 11130  10  300000.020 IKN  BIKF 01  GS
6  63.98641667 -022.64833333     97 10950  10  300089.970 IKF  BIKF 10  GS
6  63.98913889 -022.60233333    143 11030  10  300180.020 IKO  BIKF 19  GS
6  63.98613889 -022.59905556    148 10850  10  300270.020 IKW  BIKF 28  GS

7  63.98508333 -022.73211111    100     0   0      89.970 ---- BIKF 10  OM
8  63.98502778 -022.67686111    116     0   0      89.970 ---- BIKF 10  MM
9  63.98502778 -022.66213889    111     0   0      89.970 ---- BIKF 10  IM

12  63.96708333 -022.60344444    180 11130  18       0.000 IKN  BIKF 01  DME-ILS
12  63.98913889 -022.60233333    199 11030  18       0.000 IKO  BIKF 19  DME-ILS
12  63.98613889 -022.59905556    214 10850  18       0.000 IKW  BIKF 28  DME-ILS

13  63.96708333 -022.60344444    200 11130  18    0.0 IKN  BIKF 01  DME-ILS DME
13  63.98913889 -022.60233333    200 11030  18    0.0 IKO  BIKF 19  DME-ILS DME
13  63.98613889 -022.59905556    200 10850  18    0.0 IKW  BIKF 28  DME-ILS DME


 
